Protein.Group,Genes
A0A8I5QL12;Q9HBG6-10;Q9HBG6-4;Q9HBG6;Q9HBG6-3;Q9HBG6-5;Q9HBG6-6;A0A8I5KT04;A0A8I5KUU2;A0A8I5KP73;A0A8I5KSG5;A0A8I5KSN5;A0A8I5KWK4;A0A8I5KYB6;A0A8I5KYX1,IFT122
A0A8J8YUB5,ANKRD36C
A0A8J9BZL8,GOLGA2
A0A8Q3SHP3;A0A590UJU7;O00203;O00203-3;A0A8Q3WKJ9,AP3B1;AP3B2
A0A8Q3SHP3;O00203;O00203-3;A0A8Q3WKJ9,AP3B1
A0A8Q3SHP5,MTCH1
A0A8Q3SHP5;Q9NZJ7;Q9NZJ7-2;A0A8Q3SHP9;A0A8Q3SHR5;A0A8Q3WKA4;A0A8Q3WKA5;A0A8Q3WKC8;A0A8Q3WKU8;A0A8Q3WLF0;A0A8Q3WLQ9;H0Y8C3,MTCH1
A0A8Q3SI22,C3
A0A8Q3SI22;P01024,C3
A0A8Q3SIF5;Q7Z2Z2,EFL1
A0A8Q3SII5;O14715,RGPD6;RGPD8
A0A8Q3SII5;O14715;P0DJD0;P0DJD1;A0A286YES2;F8VYC4,RGPD1;RGPD2;RGPD6;RGPD8
A0A8Q3SIU1,RASAL2
A0A8Q3WK92;H0Y867;A0A8Q3SHI6;Q14789-2,GOLGB1
A0A8Q3WK92;H0Y867;A0A8Q3SHI6;Q14789-2;Q14789-4,GOLGB1
A0A8Q3WK92;H0Y867;Q14789-2;Q14789-4,GOLGB1
A0A8Q3WK92;H0Y867;Q14789-2;Q14789-4;Q9NZW5,GOLGB1;PALS2
A0A8Q3WK92;Q14789-2,GOLGB1
A0A8Q3WKN6;A0A8Q3SIW6,MTCL1
A0A8Q3WKR8,IDI1
A0A8Q3WKR8;Q13907;Q13907-2,IDI1
A0A8Q3WKZ4;P00813;A0A8Q3SI46;A0A8Q3SJ63;A0A8Q3WKZ9,ADA
A0A8V8TKL0;Q8IZA0;Q8IZA0-2;A0A8V8TKL4;E7EN73,KIAA0319L
A0A8V8TKT5,STK39
A0A8V8TKT5;Q9UEW8;Q9UEW8-2,STK39
A0A8V8TL66,POLR3F
A0A8V8TLR1;P12955;A0A494C165;A0A8V8TLL9;A0A8V8TNF2,PEPD
A0A8V8TM05;Q9NRW7;A0A8V8TMD1;A0A8V8TMG7;A0A8V8TMH2;A0A8V8TNR0,VPS45
A0A8V8TM48;H3BU27;Q8IXI1,RHOT2
A0A8V8TM48;Q8IXI1,RHOT2
A0A8V8TM48;Q8IXI2;Q8IXI2-2;Q8IXI2-3;Q8IXI2-4;Q8IXI2-5;Q8IXI2-7;Q8IXI1,RHOT1;RHOT2
A0A8V8TM61,PRPF40A
A0A8V8TM69;Q99698,LYST
A0A8V8TMG4;P16885,PLCG2
A0A8V8TMH9;A0A9L9PYI1;M0QZR4,ARHGEF1
A0A8V8TMH9;A0A9L9PYI1;M0QZR4;Q92888-4,ARHGEF1
A0A8V8TMM4;A0A8V8TMN1,TASOR2
A0A8V8TMN4,PPIP5K2
A0A8V8TMN4;Q6PFW1;Q6PFW1-2;A0A8J8ZH50;B7WPL9;F8W9A8,PPIP5K1;PPIP5K2
A0A8V8TMN5;P30085;P30085-3,CMPK1
A0A8V8TMQ1,FXR1
A0A8V8TMQ1;Q06787-4;Q06787-7;Q06787-6;A0A8I5KZ21;Q06787-9;Q06787-8;A0A8I5KS01;P51116;A0A994J7P9,FMR1;FXR1;FXR2
A0A8V8TNX9,PKM
A0A8V8TNX9;P14618-2,PKM
A0A8V8TNY3,FAM120A
A0A8V8TPT7;Q86WC4;A0A8V8TNF7,OSTM1
A0A8V8TQK0;O75083;A0A8V8TNT7;A0A8V8TP22,WDR1
A0A8V8TQW4,AP3D1
A0A8V8TR21;H0YEN4,NUP98
A0A8V8TR67,CLEC16A
A0A8V8TRE2,CARMIL1
A0A8V8TRE2;Q5VZK9,CARMIL1
A0A994J3S8,GLS
A0A994J3U5,FNBP1
A0A994J3U5;Q96RU3-2;Q96RU3-5;H0Y7W6,FNBP1
A0A994J3X0,TTC17
A0A994J3Z0;K7EN36,ATP6V0A1
A0A994J434,HMGA1
A0A994J483,HUWE1
A0A994J483;H0Y659,HUWE1
A0A994J4J7,MACROH2A1
A0A994J4J7;A0A7I2V3R0;O75367-1;O75367-3;Q9P0M6;A0A7I2V412;A0A7I2V423;A0A7I2YQD6,MACROH2A1;MACROH2A2
A0A994J4J7;O75367-1;O75367-3,MACROH2A1
A0A994J4J7;O75367-1;O75367-3;Q9P0M6;A0A7I2V412;A0A7I2V423;A0A7I2YQD6,MACROH2A1;MACROH2A2
A0A994J4Y3;A0A994J7H1;A0A994J7V4,SRRM1
A0A994J4Y8,PGAM5
A0A994J4Y8;Q96HS1,PGAM5
A0A994J529;Q76N32;A0A994J4E5;A0A994J534;A0A994J770,CEP68
A0A994J537;Q68CZ2,TNS3
A0A994J537;Q68CZ2;Q63HR2;Q63HR2-2;Q63HR2-4;Q63HR2-6;F8VV64;Q9HBL0-1;A0A994J515;E9PF55,TNS1;TNS2;TNS3
A0A994J537;Q68CZ2;Q9HBL0-1;A0A994J515;E9PF55,TNS1;TNS3
A0A994J591;P78362;P78362-2;C9J2M4,SRPK2
A0A994J591;Q96SB4;Q96SB4-3;Q96SB4-4;H3BLV9;P78362;P78362-2;C9J2M4,SRPK1;SRPK2
A0A994J5A3,EPS15
A0A994J6G7;Q96AE4,FUBP1
A0A994J6R4;Q6UN15;A0A994J3L5;A0A994J3M0;A0A994J3S0;A0A994J3S6;A0A994J6B4,FIP1L1
A0A994J749;H0Y4R1,IMPDH;IMPDH2
A0A994J749;H0Y4R1;P20839;P20839-3;P20839-5;P20839-6;P20839-7,IMPDH;IMPDH1;IMPDH2
A0A994J749;Q2TAL8,IMPDH;QRICH1
A0A994J782,HNRNPK
A0A994J782;P61978-3;A0A994J4E9;A0A994J6U9;B4DUQ1,HNRNPK
A0A994J7J9;A0A499FIZ0,WDR26
A0A994J7J9;A0A499FIZ0;Q9H7D7-2;A0A7P0SXD0,WDR26
A0A994J7S4;P33121;P33121-2;P33121-3;B7Z3Z9;E7EPM6;H0Y9Z9,ACSL1
A0A9L9PXJ4,MYL10
A0A9L9PXL1;O60447;O60447-2,EVI5
A0A9L9PXM7;P13861;P13861-2,PRKAR2A
A0A9L9PXM7;P31323;P13861;P13861-2,PRKAR2A;PRKAR2B
A0A9L9PXP8;O95251;O95251-4;O95251-2;A0A9L9PXC5;A0A9L9PXJ9;A0A9L9PXR4;A0A9L9PXR9,KAT7
A0A9L9PY51;Q9H2H8;H7BZ14,PPIL3
A0AV96,RBM47
A0AVF1;A0AVF1-3,IFT56
A0AVL1,ADAM9
A0AVL1;Q13443;Q13443-2;A0A7I2V3W3;A0A7I2V2Z6;A0A7I2V5N8;A0A7I2YQ97,ADAM9
A0AVT1,UBA6
A0AVT1;A0AVT1-2,UBA6
A0AVT1;A0AVT1-4,UBA6
A0FGR8-6;A0FGR8;H7BXI1,ESYT2
A0FGR8-6;H7BXI1,ESYT2
A0JLT2;J3KR33,MED19
A0JNW5;A0A0C4DGH6,BLTP3B
A0JNW5;A0JNW5-2,BLTP3B
A0MZ66,SHTN1
A0PJW6,TMEM223
A0PJW6;G5EA27;H0YCK4,TMEM223
A0PK00,TMEM120B
A0ZSE6,TMEM30CP
A1A4S6,ARHGAP10
A1A4S6;H0Y8W5,ARHGAP10
A1KXE4;A1KXE4-2,FAM168B
A1L0T0,ILVBL
A1L170;A1L170-2,C1orf226
A1L170;A1L170-2;F8W6W0,C1orf226
A1L390;A1L390-3;A0A0U1RR71;A0A8C8NWT4,PLEKHG3
A1X283,SH3PXD2B
A1X283;A0A1B0GUF2;G3V144,SH3PXD2B
A1X283;Q5TCZ1;Q5TCZ1-3;A0A1B0GUF2;G3V144,SH3PXD2A;SH3PXD2B
A1X283;Q5TCZ1;Q5TCZ1-3;Q5TCZ1-2;A0A1B0GUF2;G3V144,SH3PXD2A;SH3PXD2B
A2A3K4;A2A3K4-2;A0A087WTF0,PTPDC1
A2A3N6;Q5VWC4;P55036,PIPSL;PSMD4
A2A3N6;Q99755;Q99755-2;Q99755-3;A6PW57,PIP5K1A;PIPSL
A2AJT9;A2AJT9-2;A2AJT9-3,BCLAF3
A2AJT9;A2AJT9-2;A2AJT9-3;H7BXX2,BCLAF3
A2RRP1,NBAS
A2RTX5,TARS3
A2RTX5;A2RTX5-2,TARS3
