Protein.Group,Genes
A2RU14;E9PI23,TMEM218
A2RU49,HYKK
A2RU49;A2RU49-3;A0A0C4DGM4,HYKK
A2RU67,FAM234B
A2RU67;Q69YM1,FAM234B
A2RUC4,TYW5
A2RUC4;A8KAJ9,TYW5
A2VDF0;A2VDF0-2,FUOM
A2VDJ0-3;A2VDJ0-5;A2VDJ0-6;H0Y2M0,TMEM131L
A3KMH1,VWA8
A3KN83;A3KN83-2,SBNO1
A3KN83;A3KN83-2;Q9Y2G9;Q9Y2G9-3;K7ES28,SBNO1;SBNO2
A4D1E9,GTPBP10
A4D1E9;A4D1E9-2,GTPBP10
A4D1P6;C9J1X0;A0A804HHS8,WDR91
A4D1U4;C9J7X6,DENND11
A4D2B0;C9JAV3,MBLAC1
A5A3E0,POTEF
A5A3E0;P0CG38;P0CG39;Q6S8J3,POTEE;POTEF;POTEI;POTEJ
A5A3E0;P0CG38;P0CG39;Q9BYX7;P60709;P63261;I3L4N8;P68133;A6NL76;Q6S8J3,ACTA1;ACTB;ACTG1;POTEE;POTEF;POTEI;POTEJ;POTEKP
A5A3E0;P0CG38;P0CG39;Q9BYX7;P60709;P63261;I3L4N8;Q6S8J3,ACTB;ACTG1;POTEE;POTEF;POTEI;POTEJ;POTEKP
A5A3E0;P63267;P63267-2;P0CG38;P0CG39;P60709;P63261;I3L4N8;P68133;A6NL76;Q6S8J3,ACTA1;ACTB;ACTG1;ACTG2;POTEE;POTEF;POTEI;POTEJ
A5A3E0;P63267;P63267-2;P0CG38;P60709;P63261;I3L4N8;P68133;A6NL76;Q6S8J3,ACTA1;ACTB;ACTG1;ACTG2;POTEE;POTEF;POTEI
A5D8V6;F5H4Q5,VPS37C
A5PLL7;A5PLL7-2;Q5TGE2,PEDS1
A5PLN9;A5PLN9-2;A5PLN9-4;A5PLN9-5,TRAPPC13
A5PLN9;A5PLN9-2;A5PLN9-4;A5PLN9-5;A5PLN9-7,TRAPPC13
A5PLN9;A5PLN9-2;A5PLN9-4;A5PLN9-5;A5PLN9-7;D6RB83,TRAPPC13
A5YKK6,CNOT1
A5YKK6;A5YKK6-2,CNOT1
A5YM69;A0A5F9ZH52,ARHGEF35
A6H8Y1;A6H8Y1-6;A6H8Y1-7;A0A0G2JNU3,BDP1
A6NC98;A6NC98-4,CCDC88B
A6NC98;A6NC98-4;A6NC98-5;H7BY33,CCDC88B
A6NCE7;Q9GZQ8;H3BTL1,MAP1LC3B;MAP1LC3B2
A6ND36,FAM83G
A6ND36;A6ND36-2,FAM83G
A6NDG6,PGP
A6NDG6;H3BV17,PGP
A6NDU8,RIMOC1
A6NED2,RCCD1
A6NED2;G3V2I3,RCCD1
A6NFI3,ZNF316
A6NFN3;A6NFN3-2;A0A3B3ITL7;A0A8I5KWJ3;J3QRF4,RBFOX3
A6NFQ9;F8W8I8,SEPTIN8
A6NGR9,MROH6
A6NGR9;E9PPP7,MROH6
A6NHL2;A6NHL2-2,TUBAL3
A6NHL2;A6NHL2-2;P68366;P68366-2;F5H5D3;Q71U36;Q71U36-2,TUBA1A;TUBA1C;TUBA4A;TUBAL3
A6NHL2;A6NHL2-2;P68366;P68366-2;F5H5D3;Q71U36;Q71U36-2;Q9NY65;Q9NY65-2;C9J2C0,TUBA1A;TUBA1C;TUBA4A;TUBA8;TUBAL3
A6NHQ2;P22087;M0QXL5,FBL;FBLL1
A6NHQ4,EPOP
A6NHR9,SMCHD1
A6NHX0,CASTOR2
A6NHX0;Q8WTX7;B7WPJ3;F2Z2C1;F2Z3I9;F8WD52,CASTOR1;CASTOR2
A6NIH7,UNC119B
A6NJ78,METTL15
A6NJ78;A6NJ78-2;A0A0U1RR76,METTL15
A6NKD9,CCDC85C
A6NKD9;H0YJE0,CCDC85C
A6NKE1;O43617;A0A087WWM0,TRAPPC3
A6NKF1;F8WC89,SAC3D1
A6NN14;Q9H8G1,ZNF430;ZNF729
A6NNL5,C15orf61
A6PVN8,PTPA
A6PVN8;Q15257,PTPA
A6ZKI3,RTL8C
A6ZKI3;Q9BWD3,RTL8A;RTL8C
A7E2V4;A7E2V4-3;A7E2V4-4;A7E2V4-5;S4R393;S4R3H3;S4R410,ZSWIM8
A7KAX9-3,ARHGAP32
A7KAX9-3;A7KAX9;A0A804HK06,ARHGAP32
A7KAX9;A0A804HK06,ARHGAP32
A8CG34,POM121C
A8CG34;Q96HA1,POM121;POM121C
A8K8P3;A8K8P3-10;A8K8P3-3;A8K8P3-4;D3YTJ2,SFI1
A8MPS7,YDJC
A8MT69,CENPX
A8MTT3,CEBPZOS
A8MV65;A8MV65-2,VGLL3
A8MW92-2,PHF20L1
A8MWD9;P62308;F5H013;Q49AN9,SNRPG;SNRPGP15
A8MXV4,NUDT19
A8MZ97;A0A087X1C3;C9JBF1,C2orf74
A9UHW6;A9UHW6-2;A9UHW6-3;J3QLD1;J3QRZ6,MIF4GD
B0I1T2,MYO1G
B0I1T2;A0A3B3IU30,MYO1G
B0YJ81;B0YJ81-2;A6NP58,HACD1
B1AHE4;Q9UBB4,ATXN10
B1AK85,CAPZB
B1AMF0;Q8N2K1;Q8N2K1-2;Q8N2K1-3,UBE2J2
B1ANG9;Q16774;Q16774-2;B1ANH0,GUK1
B1ANG9;Q16774;Q16774-2;B1ANH0;Q16774-3,GUK1
B1APQ0;Q5JRX3,PITRM1
B2RTY4;B2RTY4-2;B2RTY4-4,MYO9A
B3KRF7;P17029,ZKSCAN1
B3KU38;B3KU38-2;P0DPB3;P0DPB3-2;A0A8I5KTZ3;C9J366,IQCJ-SCHIP1;SCHIP1
B3KW44,METTL8
B4DHS8;Q9HAD4,WDR41
B4DL54,CHURC1-FNTB
B4DL54;Q8WUH1-2,CHURC1;CHURC1-FNTB
B4DLJ1;M0R1C6;Q15853;Q15853-2;Q15853-3;Q15853-4;M0QXT0;P22415;P22415-2;B1AQP1;E9PME6,USF1;USF2
B4DLJ1;Q15853;Q15853-2;Q15853-3;Q15853-4;M0QXT0,USF2
B4DLN1;Q9UBX3;Q9UBX3-2,SLC25A10
B4DWT1,SRSF11
B4DWT1;Q05519;Q05519-2;Q5T760,SRSF11
B4DY08,HNRNPC
B4DY08;P07910-2;G3V4C1,HNRNPC
B4DY08;P07910-2;G3V4C1;P07910;G3V2Q1,HNRNPC
B4DY08;P07910-2;G3V4C1;P07910;G3V2Q1;Q86SE5;Q86SE5-3;B3KT61;E5RG71,HNRNPC;RALYL
B4E135;P18858;A0A8V8TQC4;A0A8V8TNZ9,LIG1
B4E321;Q13438;A0A8V8TQI4;A0A8V8TQI8;A0A8V8TRE0,OS9
B5MC10;P39210;B5MC53;B5MCF8,MPV17
B5MCW2,RPL3
B5MCW2;P39023,RPL3
B7Z6K7,ZNF814
B7Z7P8;P62495;P62495-2,ETF1
B7ZAQ6;B7ZAQ6-2;B7ZAQ6-3;P0CG08,GPR89A;GPR89B
B8ZZH7;Q9C086;F8WCL7;J3KQ70,INO80B;INO80B-WBP1
B8ZZN6;B9A032;P63165,SUMO1
C4AMC7;Q6VEQ5,WASH2P;WASH3P
C4AMC7;Q6VEQ5;Q9NQA3;A0A7I2YQU6,WASH2P;WASH3P;WASH6P
C9J0Q5;C9JE98,NCOR2
C9J1E1,BLVRA
C9J679;Q13427;Q13427-2;A0A7I2V5Q5;A0A7I2V629;C9JN15,PPIG
C9J6P4,ZC3HAV1
C9J7I0,UMAD1
C9J7I0;A0A1B0GUC2;A0A1W2PP33,UMAD1
C9J7Z4,TSEN2
C9JE21,RBM28
C9JGM8,SPATS2L
C9JGM8;Q9NUQ6-2,SPATS2L
C9JI87,VDAC1
C9JKG6;Q14203-3;Q14203-4;A0A804CDA6;E7EX90,DCTN1
C9JLW8;I3L2L5;I3L4Q0;I3L317,MCRIP1
C9JNZ1,UGP2
C9JNZ1;Q16851;E7EUC7,UGP2
C9JQL5;Q01628,IFITM3
C9JVB3,RSRC1
C9JVB3;Q96IZ7;Q96IZ7-2;A0A804HJC0,RSRC1
C9JW01,PUM2
C9JXQ7;Q9Y6I9,TEX264
C9JYY9,NUDT5
C9JYY9;Q9UKK9;A6NFX8,NUDT5
C9JZG2,GART
D3YTI8,RPL32
D6R941,MRPS36
D6R941;P82909,MRPS36
D6R9B6,RPS3A
D6R9B6;P61247,RPS3A
D6RC55;Q9NX40,OCIAD1
D6RC55;Q9NX40;D6RDK1;D6RI08;D6RIV2,OCIAD1
D6RDA2;P35659;A0A494C028;H0Y993,DEK
D6RDK1;D6RI08;D6RIV2,OCIAD1
D6REX3,SEC31A
D6RF22;Q4G0J3;A0A8Q3SHF1;A0A8Q3SHH4,LARP7
D6RF23,RACK1
D6RF23;P63244,RACK1
D6RHC4,ANKHD1
D6RHC4;Q8IWZ3-6;Q8IWZ3,ANKHD1
D6RHC4;Q8IWZ3-6;Q8IWZ3;O75179;O75179-2,ANKHD1;ANKRD17
D6RHH4,RACK1
D6RHH4;D6RF23;P63244,RACK1
D6RHH4;P63244,RACK1
D6RIT2,HNRNPH1
D6RIT2;P31943;G8JLB6,HNRNPH1
D6RIZ5,AFF1
D6RJ98,PIK3R4
E1B6W4,RSRC2
E5RFK5,CCNC
E5RGW4,NPM1
E5RGW4;P06748;P06748-2;A0A7I2V5S2;A0A7I2YQC0,NPM1
E5RHJ4,CCAR2
E5RHJ4;Q8N163,CCAR2
E5RIV1;Q92597,NDRG1
E5RJY1;Q92597,NDRG1
E5RK44;Q14168;Q14168-2;Q14168-3;Q14168-4;Q14168-6;A0A0A0MRU0;A0A0C4DH75;B4DZ84;D3DX48;D3DX49,MPP2
E5RK69,ANXA6
E7EMS2;P61916;G3V3D1;G3V3E8;J3KMY5,NPC2
E7EMT0;Q9Y6A5;A0A494BZT8,TACC3
E7EQL5,DYNC1I2
E7EQY4;E7EV10,MTA3
E7ERK3;P54289;P54289-4;P54289-5;P54289-2;P54289-3;A0A994J595,CACNA2D1
E7ESJ3;Q9UPS8,ANKRD26
E7ESZ7;A0A7I2V327;O95299;A0A087WXC5;A0A7I2V594,NDUFA10
E7ESZ7;O95299;A0A087WXC5;A0A7I2V594,NDUFA10
E7ETY4;E9PC69,MARK2
E7EUI8,G6PD
E7EV07,ARHGEF4
E7EVX2,GOLGA4
E7EW84;Q8TAG9;Q8TAG9-2,EXOC6
E7EW84;Q8TAG9;Q8TAG9-2;Q9Y2D4;A0A0U1RRB6,EXOC6;EXOC6B
E9PAV3;E9PAV3-2;Q13765;A0A7I2V2K5;A0A7I2V473;F8VZJ2;H0YHX9,NACA
E9PC05,ILKAP
E9PC05;Q9H0C8,ILKAP
E9PCH4;Q8TF40;Q8TF40-3;J3KNG8,FNIP1
E9PF32;H0YAY3,DENND3
E9PGB2,ABCA2
E9PGB2;Q9BZC7;Q9BZC7-3;Q9BZC7-4;A0A087WXK5,ABCA2
E9PGC8,MAP1A
E9PGC8;P78559,MAP1A
E9PGC8;P78559-2;P78559,MAP1A
E9PIA8;P50897,PPT1
E9PIB2;P57764;G3V1A6,GSDMD
E9PIE4,MTCH2
E9PJ14,ING4
E9PJF7,TPT1
E9PJF7;P13693;A0A0B4J2C3;Q5W0H4,TPT1
E9PJN2;O00141;O00141-2;O00141-3;O00141-4;O00141-5;E9PR89,SGK1
E9PJN9,RPS3
E9PJN9;P23396,RPS3
E9PJW8;Q96EY5,MVB12A
E9PK54,HSPA8
E9PK54;P11142,HSPA8
E9PKK8;Q9NY33;G3V180;G3V1D3,DPP3
E9PL57,NEDD8-MDP1
E9PLD7,DENND2B
E9PLT2,UBTF
E9PLT2;P17480;P17480-2;E9PKP7,UBTF
E9PM36;P15880;E9PQD7,RPS2
E9PMD8;P17980,PSMC3
E9PN48,ARFGAP2
E9PN48;H0YF45;Q8N6H7,ARFGAP2
E9PN48;Q8N6H7,ARFGAP2
E9PN89,HSPA8
E9PN89;E9PK54;P11142,HSPA8
E9PN89;P11142,HSPA8
E9PNA6;Q13488;A0A8V8TM28,TCIRG1
E9PNL3,ATP6V0B
E9PNP3;Q9H7C9,AAMDC
E9PP11;P55786;E9PLK3,NPEPPS
E9PQ14,DPP3
E9PQ14;E9PKK8;Q9NY33;G3V180;G3V1D3,DPP3
E9PQ14;Q9NY33;G3V180;G3V1D3,DPP3
E9PQ80;E9PSI1;Q9BY43;Q9BY43-2,CHMP4A
E9PQL1;Q8TAV0;Q8TAV0-2;Q8TAV0-3;Q8TAV0-4,FAM76A
E9PQW4;H0YDH9;P27361,MAPK3
E9PQW4;P27361,MAPK3
E9PQZ1;P29692-2;E9PRY8;P29692-4,EEF1D
E9PRG8;A0A494BXY3;E9PLD3,C11orf98
E9PS30,EIF1AD
E9PS30;Q8N9N8;E9PLI6;E9PS76,EIF1AD
E9PS41,WDR74
E9PSI3;Q12769;A0A8V8NBT1,NUP160
F5GX88,ENG
F5GXF5,BPTF
F5GXR3,PTMS
F5GXZ7;Q9Y3C0;F5GZ97,WASHC3
F5GZ99,KDM5A
F5GZG1,RAP1B
F5GZG1;P61224-3;P61224,RAP1B
F5GZI4;Q9UHD2;A0A7I2V643;A0A7I2V646;A0A494C167,TBK1
F5H2E7;P36941;P36941-2;F5H6F8,LTBR
F5H345,HMBS
F5H345;P08397;P08397-2,HMBS
F5H5D3,TUBA1C
F5H5D3;Q71U36;Q71U36-2,TUBA1A;TUBA1C
F5H5D3;Q71U36;Q71U36-2;Q9NY65;Q9NY65-2;C9J2C0,TUBA1A;TUBA1C;TUBA8
F5H836;P49023;A0A1B0GTU4,PXN
F5H867,SLC3A2
F5H867;P08195;A0A7P0TAN7;A0A7P0Z4A0;A0A7P0Z4P5;F5GZS6,SLC3A2
F6RGN5;B4DLN1;Q9UBX3;Q9UBX3-2,SLC25A10
F6RGN5;Q9UBX3;Q9UBX3-2,SLC25A10
F6SDC8,SLC25A36
F6SDC8;D6RB26;Q96CQ1;Q96CQ1-3;J3KQA4,SLC25A36
F6SDC8;Q96CQ1;Q96CQ1-3;J3KQA4,SLC25A36
F8VQQ6;Q86XA9;F5H619,HEATR5A
F8VR28;O00429;O00429-2;O00429-3;O00429-4;O00429-5;A0A994J409,DNM1L
F8VRH0,PCBP2
F8VRH0;Q15366-5,PCBP2
F8VRH0;Q15366-5;Q15366-6;H3BRU6,PCBP2
F8VRH0;Q15366-6,PCBP2
F8VU34,CS
F8VU34;O75390;B4DJV2,CS
F8VV52,CNOT2
F8VVB5,NAP1L1
F8VVB5;P55209-2,NAP1L1
F8VVB5;P55209-2;P55209-3;B7Z9C2,NAP1L1
F8VVB5;Q99733;Q99733-2;P55209-2;A0A994J3W0;C9JZI7;A0A0J9YXQ2;P55209-3;B7Z9C2,NAP1L1;NAP1L4
F8VWL3;Q96M96;E9PJX4;B7Z493,FGD4
F8VYK3;Q15633-2;Q15633;F8VYK6;F8VZZ7;F8VP94,TARBP2
F8VYK6;F8VZZ7;F8VP94,TARBP2
F8VYZ4;P61923;F8VVA7,COPZ1
F8W038;Q8IXM2;Q8IXM2-3,BAP18;C17orf49
F8W0G4,PCBP2
F8W0G4;Q15366-5;Q15366-6;H3BRU6,PCBP2
F8W719,ITSN2
F8W7C6,RPL10
F8W7C6;P27635;X1WI28,RPL10
F8W8C2,VEZT
F8W8C2;Q9HBM0,VEZT
F8W8C2;Q9HBM0-2;Q9HBM0,VEZT
F8W8L6;Q9UI10;Q9UI10-2;Q9UI10-3;E7ERK9,EIF2B4
F8WAE5;Q9BY44,EIF2A
F8WAW4;O75521;O75521-2;A0A0C4DGA2,ECI2
F8WBI5,NIPSNAP2
F8WBK9,OXSR1
F8WCI9,EAF2
F8WDN2;Q99757,TXN2
F8WE98;O75369-8;P21333;P21333-2,FLNA;FLNB
F8WE98;P21333;P21333-2,FLNA
G3V119,CCAR2
G3V119;E5RHJ4;Q8N163,CCAR2
G3V119;Q8N163,CCAR2
G3V325,ATP5MF-PTCD1
G3V3C4;Q96PC5;Q96PC5-14;Q96PC5-7;Q96PC5-9;G3V599,MIA2
G3V3F4;Q6ZU80;Q6ZU80-1,CEP128
G3V3T3;Q9UKV3-5,ACIN1
G3V3T3;Q9UKV3-5;Q9UKV3-2;Q9UKV3-3;G3V3B0,ACIN1
G3V3T8;Q9Y5K8;G3V2S6,ATP6V1D
G3V3W0,C14orf93
G3V461;P12277,CKB
G3V4X5,PSMA3
G3V542,TUBB3
G3V582;Q9NQX3;Q9NQX3-2;F5H039,GPHN
G3V5S1,L2HGDH
G3V5T0;A0A0C4DFM0;G3V4T6,GSTZ1
G3XAN8,TIMM8B
G3XAN8;Q9Y5J9,TIMM8B
G5E948,MAP4K4
G5E948;O95819-6,MAP4K4
G5E972,TMPO
G5E9Z2,CLPTM1L
H0Y3R8,TJP1
H0Y3V4;O00410;O00410-3,IPO5
H0Y400;Q13838;Q13838-2,DDX39B
H0Y459,NCOR1
H0Y459;O75376;A0A994J5B8,NCOR1
H0Y459;O75376;A0A994J5B8;C9J0Q5;C9JE98,NCOR1;NCOR2
H0Y4R1,IMPDH2
H0Y4V9,LARP4B
H0Y4V9;Q92615,LARP4B
H0Y5C6,FLNA
H0Y5C6;P21333;P21333-2,FLNA
H0Y624,ATP11A
H0Y6A0,ARFGAP3
H0Y723;O15160,POLR1C
H0Y8I3;A0A494C1Q4,PGM3
H0Y8S5,SNF8
H0Y8X4,DNPH1
H0Y8X4;O43598,DNPH1
H0Y990,ABCE1
H0Y994,TMEM201
H0Y9A1;Q9GZM5;E7EQR8,YIPF3
H0Y9Z8,NCAPG
H0YAB3,SEC31A
H0YAB3;D6REX3,SEC31A
H0YB42,TG
H0YBE7,RIMS1
H0YBE7;Q86UR5;Q86UR5-4;Q86UR5-12;Q86UR5-5;A0A8V8TKU9;H0YBU6,RIMS1
H0YBW1,LARP1
H0YBW1;Q6PKG0,LARP1
H0YC42;P55327-7;P55327;P55327-2;P55327-3;P55327-4;P55327-5;P55327-6,TPD52
H0YC42;Q9Y2Q9,MRPS28
H0YCL0,IRAG1
H0YDF6,NHSL1
H0YE19,OSBPL9
H0YE68,NSD3
H0YE97;H0YEY8,PICALM
H0YEL5;O43447;C9JQD4,PPIH
H0YEN1;Q9NUE0;Q9NUE0-2,ZDHHC18
H0YF69;Q8N5U6;Q8N5U6-2,RNF10
H0YGG4,EIF2B1
H0YGQ3,MPDZ
H0YH12,INTS13
H0YI78,KIF21A
H0YJJ7,CKB
H0YK59,CD276
H0YK59;Q5ZPR3;Q5ZPR3-3;Q5ZPR3-4;A0A0C4DGH0,CD276
H0YKB1;Q07157;A0A087X0K9,TJP1
H0YKD8;P46779;P46779-2;P46779-3;P46779-4;P46779-5;H0YLP6;H0YMF4,RPL28
H0YKN4,ANXA2
H0YKT8;P25789;H0YN18,PSMA4
H0YL70,TLE3
H0YL70;Q04726;Q04726-2;Q04726-5;Q04726-7;H0YKN8;H0YKT5,TLE3
H0YLF3,B2M
H0YLM8,DMXL2
H0YLM8;Q8TDJ6;Q8TDJ6-3,DMXL2
H0YLX2;Q2KHR2-3;A0A8C8UYX0,RFX7
H0YLY7,CHP1
H0YMT9,ANXA2
H0YMT9;H0YKN4;P07355;P07355-2;H0YMW4,ANXA2
H0YMT9;P07355;P07355-2;H0YMW4,ANXA2
H0YNB0,MYO1E
H0YNF3,SLTM
H3BLW9;H7C3F2;V9GYD7,SWI5
H3BMF3;Q96S19;A0A087WYU2,METTL26
H3BMZ5,KIFC3
H3BMZ5;Q9BVG8;Q9BVG8-2;Q9BVG8-6,KIFC3
H3BN26;Q6UXD5-3;Q6UXD5-5;Q6UXD5-6;A0A087WYL5,SEZ6L2
H3BNN8;H3BTB6,CMC2
H3BNN8;H3BTB6;Q9NRP2,CMC2
H3BP48;Q8N543,OGFOD1
H3BPE1;H3BQK9,MACF1
H3BPK7,AARS1
H3BPK7;P49588;A0A6Q8PF33;A0A6Q8PGN5,AARS1
H3BQI1;Q9NP97;B1AKR6,DYNLRB1;DYNLRB2
H3BRB3,KIF22
H3BRB3;Q14807,KIF22
H3BRU6,PCBP2
H3BRW3;P55789,GFER
H3BUB6,SCAMP2
H3BV55,PMM2
H3BV55;O15305,PMM2
H7BXH2;Q5H9R7;Q5H9R7-2;Q5H9R7-5,PPP6R3
H7BXI1,ESYT2
H7BY16,NCL
H7BY16;P19338;A0A7I2V3F3;A0A7I2V428;C9JLB1,NCL
H7BY36;Q01844;Q01844-3;Q01844-5;Q01844-6;B0QYK0,EWSR1
H7BYY1,TPM1
H7BYY1;P09493-6,TPM1
H7BZ79;A0A804HIE8,DOCK9
H7BZ94,P4HB
H7BZ94;A0A7P0TA35,P4HB
H7BZ94;A0A7P0TA35;I3L514,P4HB
H7BZ94;I3L3U6;A0A7P0TA35;I3L514,P4HB
H7BZM7;O75312,ZPR1
H7C016;O95639;O95639-2;O95639-3,CPSF4
H7C069;P61619;A0A8V8TMZ5;B4DR61;Q9H9S3;Q9H9S3-2;Q9H9S3-3,SEC61A1;SEC61A2
H7C069;Q9H9S3;Q9H9S3-2;Q9H9S3-3,SEC61A2
H7C144,ACTN4
H7C144;O43707,ACTN4
H7C144;O43707;P12814,ACTN1;ACTN4
H7C144;O43707;P12814;P35609-2;P35609;A0A494C1A0;A0A804HI95,ACTN1;ACTN2;ACTN4
H7C1C2,ANLN
H7C2C6,CCDC88A
H7C2C6;Q3V6T2;Q3V6T2-2,CCDC88A
H7C2C6;Q3V6T2;Q3V6T2-2;Q3V6T2-3;Q3V6T2-4,CCDC88A
H7C2T3;Q9H4A4,RNPEP
H7C2Y1;Q14669;Q14669-3;A0A994J755;H7C1L9;Q14669-4,TRIP12
H7C3D3;Q15942,ZYX
H7C3F2;V9GYD7,SWI5
H7C3J2;P49674,CSNK1E
H7C3J2;P49674;P48730;P48730-2;H7BYT1,CSNK1D;CSNK1E
H7C3M7,FARP2
H7C4E8,BTN2A2
H7C4F6;O00629;A0A7I2YQ95,KPNA4
H7C4G6;P26440;A0A0A0MT83,IVD
H7C4H9;Q8NDX5;Q8NDX5-2;Q8NDX5-7,PHC3
H7C4S5;P04049;P04049-2;A0A8I5KSV6;P15056;A0A2R8Y8E0;A0A2U3TZI2;H7C560,BRAF;RAF1
H7C4U6;Q96P47;Q96P47-2;Q96P47-4,AGAP3
H7C4U6;Q96P47;Q96P47-2;Q96P47-4;Q9UPQ3;Q9UPQ3-2;H7C0A7;H7C211,AGAP1;AGAP3
H7C561,SF1
I3L0A0,PEDS1-UBE2V1
I3L0A0;A5PLL7;A5PLL7-2;Q5TGE2,PEDS1;PEDS1-UBE2V1
I3L0A0;Q15819,PEDS1-UBE2V1;UBE2V2
I3L0S1;O60256,PRPSAP2
I3L1G9;I3L426;P57737-3;A0A0A6YYL4,CORO7;PAM16
I3L1G9;P57737-3;A0A0A6YYL4,CORO7;PAM16
I3L2P4,SMYD4
I3L303,RPS15A
I3L3D5,PFN1
I3L3D5;P07737,PFN1
I3L3E4;Q96FZ7;I3L4A1;I3L4G8,CHMP6
I3L3I1;Q8TAT6;Q8TAT6-2;A0A994J7H4,NPLOC4
I3L426;P57737-3;A0A0A6YYL4,CORO7;PAM16
I3L4E1;Q13137;Q13137-3;Q13137-4,CALCOCO2
I3L4M4;P57678;I3L2C7,GEMIN4
I3L505,NDUFAB1
I3L505;O14561,NDUFAB1
I6L899,GOLGA8R
I6L899;A0A1B0GV12,GOLGA8N;GOLGA8R
I6L899;A0A1B0GV12;H3BV12;A0A0J9YX86,GOLGA8N;GOLGA8Q;GOLGA8R
I6L899;H3BV12;A0A0J9YX86,GOLGA8Q;GOLGA8R
J3KND1,SAAL1
J3KNZ9,FBRS
J3KNZ9;Q9HAH7;Q9HAH7-1,FBRS
J3KPP4,LUC7L3
J3KQ32;Q9NTK5,OLA1
J3KRF2;J3QQJ9,ESRP2
J3KS87;Q9BW27,NUP85
J3KT24,CD68
J3KTA1,FBXL20
J3KTA1;Q96IG2,FBXL20
J3KTL3;O75448;A0A0B4J1W0;F5GY88,MED24
J3QL32,PYCR1
J3QL32;P32322;P32322-3,PYCR1
J3QLC6,RAB34
J3QLC6;Q9BZG1,RAB34
J3QLE8;Q13098;Q13098-5;Q13098-7;A0A9L9PXT0;C9JFE4,GPS1
J3QQK4;A0A2R8Y7Q1,BPTF
J3QQK4;A0A2R8Y7Q1;Q12830-4;E7ETD6,BPTF
J3QQK4;F5GXF5;A0A2R8Y7Q1;Q12830-4;E7ETD6,BPTF
J3QQP1;Q8N1S5;Q8N1S5-2;J3QS49;J3KRX2;J3QLB2,SLC39A11
J3QQY7,TANC2
J3QQY7;Q9HCD6;J3KTM5,TANC2
J3QR07,YTHDC1
J3QR07;Q96MU7,YTHDC1
J3QR62,DDX5
J3QR62;P17844;J3KTA4,DDX5
J3QSD2;Q9GZM8;Q9GZM8-2;Q9GZM8-3;A6NIZ0,NDEL1
K7EIH8;Q99615;A0A6I8PS32;A0A6I8PU73;A0A6I8PUD4,DNAJC7
K7EIT2,TIMM13
K7EJB9;P27797,CALR
K7EJQ6;Q5BJH7;Q5BJH7-3;Q5BJH7-6,YIF1B
K7EK21,PSMD8
K7EKR3;K7EMD0;K7EPX6,PSME3
K7EL53;Q8NFA0,USP32
K7EL68,CDC37
K7EL68;Q16543,CDC37
K7EM24;Q93050;Q93050-1;Q93050-3;A0A994J3Z0;K7EN36;K7ENA1,ATP6V0A1
K7EMI4,AFMID
K7EMZ9,LSM14A
K7ENW2,ZNF286A
K7EPG9;Q96ND0;K7EK00,FAM210A
K7EQ68;Q9Y4G2,PLEKHM1
K7EQB6,LIG3
K7EQQ6,DPH1
K7ER90,EIF3G
K7ER90;K7ENH0;O75821,EIF3G
K7ER90;O75821,EIF3G
K7ERC5,APC2
K7ERK9,ZNF559
K7ES11,UBE2O
K7ES63,TUBB6
K7ES78,CAPNS1
K7ES78;P04632;A0A0C4DGQ5,CAPNS1
L0R6Q1,SLC35A4
L0R819,ASDURF
L0R819;U3KQP1,ASDURF
L0R8F8,MIEF1
M0QXB4,COPE
M0QXE6;M0R2B7,POLD1
M0QXQ4,NUMBL
M0QXQ4;Q9Y6R0;A0A0C4DGH3,NUMBL
M0QXW7;Q92945;M0R0C6,KHSRP
M0QY01,EPS15L1
M0QYX4,EVI5L
M0QZM1,HNRNPM
M0QZM1;P52272;P52272-2;A0A087X0X3,HNRNPM
M0R042,TUBB4A
M0R0K9,TRIM28
M0R128;P25685,DNAJB1
M0R2B7,POLD1
M0R2B8;P09012,SNRPA
M0R2X3;Q13627;Q13627-2;Q13627-3;Q13627-4;Q13627-5;A0A2R8Y6I6;A0A2R8Y6L5;A0A2R8YDF3;Q9Y463;A0A9H4CVU7,DYRK1A;DYRK1B
M0R346,PRKD2
M0R3C8;Q96T60;A0A0D9SFL2,PNKP
O00115;O00115-2,DNASE2
O00115;O00115-2;A0A8V8TNK3;K7ENE5,DNASE2
O00116,AGPS
O00124;A0A087WV67,UBXN8
O00139;O00139-1;O00139-2;O00139-4;O00139-5;A0A6Q8PFA6;A0A6Q8PG37;A0A6Q8PGH7;A0A6Q8PH57,KIF2A
O00141;O00141-2;O00141-3;O00141-4;O00141-5;E9PR89,SGK1
O00142;O00142-4;H3BP77,TK2
O00148,DDX39A
O00148;H0Y400;Q13838;Q13838-2,DDX39A;DDX39B
O00148;K7EQN7;O00148-3,DDX39A
O00148;K7EQN7;Q13838;Q13838-2;O00148-3,DDX39A;DDX39B
O00148;Q13838;Q13838-2;O00148-3,DDX39A;DDX39B
O00151,PDLIM1
O00154;O00154-4;O00154-6;O00154-7,ACOT7
O00154;O00154-4;O00154-6;O00154-7;O00154-5,ACOT7
O00154;O00154-4;O00154-6;O00154-7;O00154-5;K7EKP8,ACOT7
O00159-2,MYO1C
O00159-3,MYO1C
O00159-3;O00159-2,MYO1C
O00161,SNAP23
O00165,HAX1
O00170;A0A804HKH9,AIP
O00178,GTPBP1
O00180,KCNK1
O00186,STXBP3
